426 , 539
333 , 474
253 , 137
330 , 802
340 , 740
134 , 230
186 , 5
375 , 140
283 , 413
342 , 177
379 , 622
308 , 882
439 , 953
408 , 692
3 , 820
90 , 39
244 , 223
543 , 549
58 , 74
161 , 409
362 , 891
554 , 429
33 , 380
563 , 841
310 , 859
445 , 695
35 , 555
283 , 314
303 , 814
529 , 61
438 , 657
62 , 734
336 , 596
441 , 359
279 , 194
437 , 628
110 , 919
342 , 422
142 , 851
321 , 53
181 , 9
81 , 856
573 , 133
534 , 11
389 , 42
279 , 242
444 , 19
132 , 555
553 , 611
303 , 52
490 , 117
93 , 247
572 , 462
510 , 991
176 , 947
135 , 53
37 , 87
135 , 16
497 , 310
301 , 91
449 , 977
78 , 693
142 , 76
371 , 849
108 , 42
487 , 33
570 , 294
387 , 749
307 , 143
197 , 55
269 , 342
227 , 596
157 , 668
382 , 392
521 , 783
572 , 780
436 , 870
202 , 342
539 , 400
475 , 561
226 , 215
511 , 475
526 , 420
593 , 333
443 , 280
124 , 68
332 , 590
118 , 631
266 , 924
216 , 723
471 , 370
476 , 902
97 , 432
312 , 823
273 , 711
541 , 652
564 , 64
353 , 403
406 , 874
443 , 985
6 , 511
352 , 852
515 , 695
117 , 675
162 , 804
126 , 658
511 , 559
209 , 635
279 , 399
407 , 245
104 , 99
449 , 545
466 , 237
113 , 662
147 , 527
478 , 200
141 , 769
206 , 222
579 , 621
143 , 569
238 , 152
388 , 713
544 , 367
111 , 274
392 , 361
95 , 621
461 , 94
153 , 434
520 , 80
297 , 877
331 , 850
513 , 251
50 , 500
47 , 521
205 , 519
463 , 575
375 , 299
265 , 5
465 , 365
578 , 953
409 , 741
304 , 343
584 , 346
288 , 120
392 , 46
253 , 536
107 , 168
181 , 95
293 , 739
216 , 928
573 , 464
31 , 800
256 , 581
446 , 277
439 , 592
563 , 15
114 , 3
444 , 172
361 , 100
49 , 203
217 , 676
393 , 527
116 , 633
363 , 511
394 , 577
495 , 329
144 , 704
312 , 354
561 , 211
358 , 530
350 , 981
458 , 83
97 , 77
0 , 570
394 , 283
235 , 746
445 , 563
47 , 508
202 , 555
497 , 684
349 , 826
293 , 181
427 , 935
301 , 788
330 , 633
342 , 751
173 , 932
391 , 846
492 , 38
75 , 693
595 , 4
517 , 377
541 , 35
494 , 865
69 , 33
14 , 301
256 , 62
244 , 149
280 , 44
347 , 987
565 , 423
384 , 967
210 , 414
342 , 464
267 , 874
14 , 268
134 , 655
519 , 341
457 , 506
435 , 800
359 , 124
465 , 646
102 , 641
577 , 466
145 , 475
427 , 482
98 , 120
391 , 109
513 , 373
24 , 410
152 , 487
351 , 953
487 , 154
472 , 614
516 , 620
504 , 820
202 , 140
58 , 692
552 , 722
513 , 674
456 , 729
519 , 514
282 , 983
97 , 958
10 , 975
510 , 954
99 , 120
438 , 616
171 , 551
483 , 441
429 , 347
99 , 843
296 , 662
145 , 584
371 , 64
309 , 233
516 , 853
114 , 247
417 , 886
201 , 115
577 , 494
279 , 885
293 , 232
557 , 631
65 , 271
436 , 151
542 , 508
15 , 898
578 , 474
430 , 13
464 , 426
140 , 558
443 , 791
535 , 508
125 , 959
61 , 794
30 , 29
451 , 371
422 , 385
252 , 117
482 , 274
536 , 657
23 , 359
298 , 878
574 , 346
590 , 356
468 , 156
386 , 31
490 , 540
257 , 176
126 , 355
426 , 353
215 , 134
98 , 986
221 , 991
583 , 935
477 , 261
205 , 860
107 , 332
32 , 832
538 , 574
531 , 467
288 , 903
79 , 659
371 , 481
248 , 934
251 , 898
538 , 631
46 , 583
55 , 629
333 , 655
453 , 562
229 , 517
544 , 714
465 , 865
510 , 566
15 , 68
207 , 679
487 , 499
69 , 759
544 , 379
140 , 42
492 , 160
357 , 323
397 , 135
301 , 70
471 , 449
527 , 923
269 , 782
299 , 166
130 , 601
42 , 14
45 , 737
438 , 294
514 , 808
463 , 870
234 , 191
398 , 678
79 , 914
398 , 581
11 , 372
278 , 468
563 , 546
481 , 971
92 , 100
63 , 438
130 , 471
559 , 202
96 , 905
14 , 948
405 , 87
71 , 359
159 , 764
477 , 795
231 , 669
297 , 361
486 , 761
248 , 917
154 , 176
295 , 463
469 , 95
165 , 121
35 , 419
411 , 667
277 , 963
119 , 78
360 , 169
299 , 181
245 , 193
225 , 54
390 , 397
540 , 565
422 , 270
259 , 46
403 , 189
546 , 48
90 , 66
521 , 202
110 , 128
388 , 473
409 , 962
56 , 442
111 , 119
209 , 300
45 , 925
32 , 290
269 , 276
207 , 386
453 , 391
328 , 279
146 , 836
13 , 3
428 , 1
580 , 5
467 , 44
